x,y,r
776, 2521, 0.5643326479831003
682, 2523, 3.1420712062218055
450, 2521, 0.5643326479831003
2389, 2527, 4.069460597442876
1842, 2520, 0.5643326479831003
933, 2519, 0.6911635163761372
1909, 2518, 0.39904344223381105
1160, 2518, 1.1286652959662007
1833, 2515, 0.39904344223381105
464, 2519, 0.892288262810312
22, 2516, 0.6911635163761372
1916, 2515, 0.39904344223381105
686, 2517, 0.6911635163761372
1896, 2515, 0.6911635163761372
1160, 2514, 1.1286652959662007
1683, 2515, 2.492025498024157
2158, 2515, 3.290596523080125
1867, 2516, 3.478780077559586
1860, 2516, 1.9952172111690554
1113, 2513, 0.39904344223381105
1886, 2510, 0.5643326479831003
1840, 2510, 0.892288262810312
1891, 2511, 1.1971303267014333
693, 2511, 2.7933040956366773
1897, 2507, 0.6911635163761372
2292, 2506, 0.6911635163761372
1900, 2506, 0.39904344223381105
2502, 2506, 2.326803115618832
1674, 2506, 2.1115394209236658
2261, 2503, 0.39904344223381105
1890, 2503, 0.39904344223381105
1850, 2509, 6.8654029715511555
2294, 2501, 0.5643326479831003
1802, 2506, 2.7933040956366773
499, 2499, 0.39904344223381105
1867, 2500, 0.5643326479831003
2254, 2501, 1.1286652959662007
878, 2498, 0.39904344223381105
493, 2496, 1.3823270327522743
1824, 2500, 7.292785021910092
277, 2494, 0.892288262810312
1119, 2496, 2.7933040956366773
670, 2497, 4.788521306805733
1862, 2497, 1.5961737689352442
1745, 2490, 0.892288262810312
2398, 2503, 4.47925152983352
681, 2490, 1.739390038779793
483, 2492, 1.4387715921116582
489, 2489, 1.692997943949301
0, 2488, 0.7980868844676221
923, 2485, 0.39904344223381105
1864, 2484, 0.39904344223381105
1739, 2489, 0.5643326479831003
2334, 2485, 1.9137451194361292
1103, 2482, 0.39904344223381105
1080, 2483, 0.892288262810312
662, 2484, 1.4930838432778397
556, 2486, 2.7064443028318927
1785, 2483, 2.7646540655045486
1068, 2480, 0.39904344223381105
1874, 2482, 1.1971303267014333
1161, 2479, 0.6911635163761372
668, 2480, 2.360772841177929
1879, 2477, 1.1286652959662007
1860, 2479, 1.9549056373532239
1238, 2479, 1.5961737689352442
989, 2479, 2.1115394209236658
1032, 2476, 0.39904344223381105
459, 2476, 0.5643326479831003
2088, 2509, 44.94511869232871
1705, 2473, 0.39904344223381105
1236, 2470, 0.6911635163761372
465, 2471, 0.9774528186766119
1866, 2473, 1.8716796503076578
1160, 2469, 1.1286652959662007
2089, 2476, 6.091133788386648
443, 2465, 0.39904344223381105
490, 2481, 7.3363244237803045
1869, 2467, 1.9549056373532239
1835, 2463, 0.7980868844676221
434, 2462, 0.39904344223381105
793, 2462, 0.892288262810312
735, 2460, 0.39904344223381105
741, 2461, 1.2618861628126719
2107, 2465, 1.1286652959662007
1848, 2459, 0.892288262810312
1594, 2458, 0.5643326479831003
2164, 2456, 0.6911635163761372
825, 2456, 0.6911635163761372
2148, 2455, 0.5643326479831003
1615, 2455, 0.39904344223381105
929, 2454, 0.39904344223381105
738, 2456, 1.0557697104618329
363, 2459, 0.5643326479831003
2038, 2456, 4.316314776334974
476, 2459, 2.459868983099047
2449, 2452, 0.7980868844676221
2185, 2505, 15.423945317977969
574, 2454, 2.326803115618832
372, 2452, 0.5643326479831003
599, 2520, 65.03918466125843
2164, 2451, 1.0557697104618329
2155, 2452, 1.5961737689352442
2151, 2454, 1.1971303267014333
2148, 2448, 0.5643326479831003
1415, 2448, 3.0909772123696633
643, 2450, 3.3623998102659405
417, 2446, 0.39904344223381105
228, 2448, 1.8286467796121775
1824, 2445, 0.5643326479831003
1704, 2446, 0.9774528186766119
2428, 2448, 7.3363244237803045
1828, 2443, 0.5643326479831003
368, 2462, 11.116064005793225
2225, 2495, 44.96282965912415
1816, 2443, 1.4930838432778397
544, 2444, 0.6911635163761372
360, 2441, 0.39904344223381105
331, 2442, 0.6911635163761372
641, 2441, 0.39904344223381105
1075, 2440, 0.39904344223381105
922, 2441, 0.892288262810312
943, 2439, 0.39904344223381105
542, 2439, 0.6911635163761372
2165, 2439, 0.892288262810312
2032, 2442, 4.67068374268734
2023, 2441, 3.868869714301845
2010, 2442, 6.130221679058181
1204, 2436, 0.5643326479831003
1665, 2435, 0.5643326479831003
822, 2436, 0.5643326479831003
2308, 2437, 5.031746350679813
910, 2433, 0.39904344223381105
2464, 2435, 3.1420712062218055
1752, 2457, 32.57524361866365
240, 2438, 4.01033696187374
933, 2435, 2.18565094735968
2321, 2431, 1.0557697104618329
1834, 2431, 1.3823270327522743
2327, 2432, 1.1971303267014333
1604, 2429, 0.39904344223381105
2422, 2431, 3.0651108395290905
1618, 2427, 0.39904344223381105
1610, 2431, 0.39904344223381105
909, 2428, 0.7980868844676221
941, 2428, 1.784576525620624
2410, 2425, 1.8716796503076578
2128, 2434, 5.713432602377561
222, 2427, 1.1286652959662007
2322, 2422, 0.5643326479831003
1206, 2424, 1.3823270327522743
1144, 2422, 0.39904344223381105
934, 2426, 1.5961737689352442
1153, 2423, 2.6167028409740727
958, 2420, 0.6911635163761372
953, 2422, 0.6911635163761372
948, 2432, 3.5015919946240577
2494, 2419, 0.39904344223381105
1665, 2419, 0.5643326479831003
1646, 2419, 0.892288262810312
855, 2422, 0.9774528186766119
858, 2417, 0.39904344223381105
454, 2420, 0.892288262810312
215, 2418, 0.5643326479831003
959, 2416, 0.39904344223381105
451, 2417, 0.39904344223381105
2389, 2416, 0.6911635163761372
2024, 2416, 0.892288262810312
1820, 2416, 0.7980868844676221
2371, 2415, 0.892288262810312
2265, 2418, 2.5551247367559506
212, 2414, 0.39904344223381105
2362, 2415, 0.7980868844676221
2063, 2416, 3.1420712062218055
846, 2414, 0.6911635163761372
1031, 2413, 0.5643326479831003
950, 2415, 0.7980868844676221
858, 2413, 0.39904344223381105
2331, 2412, 0.5643326479831003
959, 2412, 0.5643326479831003
2263, 2411, 1.692997943949301
1744, 2412, 0.6911635163761372
1660, 2412, 1.6452982615400624
1028, 2412, 0.6911635163761372
640, 2413, 2.959385372579835
2251, 2410, 0.39904344223381105
2001, 2417, 8.993982418552024
1206, 2410, 1.0557697104618329
853, 2411, 0.39904344223381105
471, 2416, 2.2573305919324014
1716, 2409, 0.5643326479831003
1656, 2409, 0.6911635163761372
1569, 2412, 4.805119350705276
843, 2406, 0.39904344223381105
1640, 2408, 1.3234773729414107
964, 2405, 0.39904344223381105
2281, 2405, 0.39904344223381105
2264, 2405, 1.692997943949301
1615, 2416, 2.492025498024157
1546, 2405, 0.39904344223381105
2230, 2407, 0.6911635163761372
1796, 2405, 1.8286467796121775
1579, 2403, 0.39904344223381105
840, 2403, 0.39904344223381105
209, 2404, 0.5643326479831003
1696, 2403, 0.5643326479831003
1673, 2404, 1.3823270327522743
1418, 2406, 3.0390243154356167
515, 2404, 0.7980868844676221
487, 2404, 0.39904344223381105
1759, 2402, 0.5643326479831003
1206, 2402, 0.7980868844676221
2264, 2401, 0.5643326479831003
2125, 2401, 0.5643326479831003
1707, 2421, 5.30892770489448
837, 2401, 0.39904344223381105
1072, 2403, 1.1971303267014333
2100, 2399, 0.7980868844676221
1543, 2401, 2.6469547458828213
2072, 2398, 1.784576525620624
525, 2396, 0.39904344223381105
976, 2397, 1.2618861628126719
2027, 2395, 0.5643326479831003
1914, 2397, 2.9323584560298355
1119, 2399, 4.67068374268734
2253, 2394, 0.5643326479831003
2019, 2395, 0.9774528186766119
1686, 2403, 1.0557697104618329
502, 2397, 2.8775431842233163
1991, 2393, 0.39904344223381105
1207, 2395, 1.5961737689352442
2269, 2392, 0.6911635163761372
665, 2393, 2.034730298721438
2253, 2391, 0.5643326479831003
1422, 2393, 2.7646540655045486
1707, 2390, 0.39904344223381105
1536, 2492, 96.07090003947555
707, 2393, 2.959385372579835
509, 2391, 1.692997943949301
1072, 2391, 1.1286652959662007
2253, 2387, 0.39904344223381105
2282, 2390, 1.1286652959662007
1150, 2396, 5.891805817928688
228, 2389, 2.221779856890434
455, 2389, 3.6134920562752493
1667, 2385, 0.5643326479831003
1552, 2386, 1.692997943949301
1452, 2386, 2.0734905491284112
